year,Number_of_Movies
1953,14
1957,20
1987,71
1956,19
1936,8
1958,22
1943,10
1972,22
1931,7
1988,69
1938,6
1926,8
1932,7
1977,22
1971,26
1984,60
1982,50
1941,11
1919,3
2000,156
1965,20
1962,20
1954,15
1930,7
1981,43
1940,19
1978,30
1974,28
1959,22
1995,342
1964,16
1946,13
1927,6
1921,1
1976,21
1942,13
1935,6
1947,14
1967,24
1968,22
1922,2
1989,60
1939,11
1992,102
1961,19
1951,12
1966,12
1955,19
1999,283
1963,25
1994,257
1950,14
1997,315
1973,29
1925,6
1996,345
1983,35
1969,18
1923,3
1980,41
1944,13
1960,15
1934,7
1937,11
1948,12
1986,104
1952,11
1985,65
1929,3
1979,32
1998,337
1993,165
1949,10
1990,77
1991,60
1928,3
1945,11
1975,21
1970,16
1933,7
1920,2
