movieid,Total_number_of_Users,Total_ratings,Average_ratings
1,2077,8613.0,4.15
2,701,2244.0,3.20
3,478,1442.0,3.02
4,170,464.0,2.73
5,296,890.0,3.01
6,940,3646.0,3.88
7,458,1562.0,3.41
8,68,205.0,3.01
9,102,271.0,2.66
10,888,3144.0,3.54
11,1033,3919.0,3.79
12,160,378.0,2.36
13,99,323.0,3.26
14,153,542.0,3.54
15,146,359.0,2.46
16,682,2587.0,3.79
17,835,3363.0,4.03
18,157,524.0,3.34
19,389,965.0,2.48
20,160,406.0,2.54
21,1356,4914.0,3.62
22,378,1266.0,3.35
23,126,360.0,2.86
24,624,1984.0,3.18
25,980,3578.0,3.65
26,100,353.0,3.53
27,61,179.0,2.93
28,179,726.0,4.06
29,403,1637.0,4.06
30,74,270.0,3.65
31,141,439.0,3.11
32,1511,5962.0,3.95
33,4,12.0,3.00
34,1751,6814.0,3.89
35,70,232.0,3.31
36,928,3673.0,3.96
37,8,28.0,3.50
38,28,79.0,2.82
39,1362,4935.0,3.62
40,30,118.0,3.93
41,242,958.0,3.96
42,221,634.0,2.87
43,166,572.0,3.45
44,311,867.0,2.79
45,544,1863.0,3.42
46,166,516.0,3.11
47,1137,4669.0,4.11
48,382,1137.0,2.98
49,27,101.0,3.74
50,1783,8054.0,4.52
52,431,1569.0,3.64
53,8,38.0,4.75
54,41,105.0,2.56
55,45,138.0,3.07
56,9,18.0,2.00
57,99,337.0,3.40
58,501,2051.0,4.09
59,8,22.0,2.75
60,357,1147.0,3.21
61,67,201.0,3.00
62,541,2000.0,3.70
63,111,317.0,2.86
64,79,179.0,2.27
65,143,295.0,2.06
66,97,162.0,1.67
67,4,13.0,3.25
68,60,207.0,3.45
69,319,1166.0,3.66
70,914,2885.0,3.16
71,96,202.0,2.10
72,93,338.0,3.63
73,224,855.0,3.82
74,120,357.0,2.98
75,12,23.0,1.92
76,178,508.0,2.85
77,34,128.0,3.76
78,50,163.0,3.26
79,114,297.0,2.61
80,52,199.0,3.83
81,166,525.0,3.16
82,89,345.0,3.88
83,33,122.0,3.70
84,21,65.0,3.10
85,194,660.0,3.40
86,236,801.0,3.39
87,76,168.0,2.21
88,192,565.0,2.94
89,229,704.0,3.07
90,6,22.0,3.67
92,88,206.0,2.34
93,89,199.0,2.24
94,182,678.0,3.73
95,638,1835.0,2.88
96,13,51.0,3.92
97,44,165.0,3.75
98,6,12.0,2.00
99,50,173.0,3.46
100,128,392.0,3.06
101,253,979.0,3.87
102,60,109.0,1.82
103,33,106.0,3.21
104,682,2405.0,3.53
105,387,1251.0,3.23
106,12,43.0,3.58
107,256,806.0,3.15
108,7,20.0,2.86
110,2443,10346.0,4.23
111,1240,5188.0,4.18
112,570,1963.0,3.44
113,53,158.0,2.98
114,11,34.0,3.09
116,41,168.0,4.10
117,79,287.0,3.63
118,68,209.0,3.07
119,13,32.0,2.46
120,3,8.0,2.67
121,37,150.0,4.05
122,194,537.0,2.77
123,115,445.0,3.87
124,14,45.0,3.21
125,318,1219.0,3.83
126,99,197.0,1.99
127,1,1.0,1.00
128,12,52.0,4.33
129,13,43.0,3.31
130,2,8.0,4.00
131,16,49.0,3.06
132,91,227.0,2.49
133,1,1.0,1.00
134,2,8.0,4.00
135,133,374.0,2.81
136,8,26.0,3.25
137,13,39.0,3.00
138,2,5.0,2.50
139,1,4.0,4.00
140,139,440.0,3.17
141,682,2421.0,3.55
142,1,1.0,1.00
144,433,1469.0,3.39
145,362,1193.0,3.30
146,18,52.0,2.89
147,181,641.0,3.54
148,23,64.0,2.78
149,47,178.0,3.79
150,1251,5096.0,4.07
151,554,1988.0,3.59
152,69,207.0,3.00
153,777,2053.0,2.64
154,168,626.0,3.73
155,87,297.0,3.41
156,66,235.0,3.56
157,187,511.0,2.73
158,259,772.0,2.98
159,116,381.0,3.28
160,565,1265.0,2.24
161,760,2830.0,3.72
162,491,1995.0,4.06
163,540,1867.0,3.46
164,379,1352.0,3.57
165,825,2938.0,3.56
166,61,150.0,2.46
167,5,18.0,3.60
168,362,1068.0,2.95
169,113,228.0,2.02
170,321,1010.0,3.15
171,93,332.0,3.57
172,458,1180.0,2.58
173,564,1302.0,2.31
174,81,187.0,2.31
175,220,765.0,3.48
176,205,803.0,3.92
177,139,380.0,2.73
178,19,66.0,3.47
179,48,106.0,2.21
180,451,1600.0,3.55
181,93,150.0,1.61
182,49,154.0,3.14
183,29,101.0,3.48
184,26,87.0,3.35
185,569,1633.0,2.87
186,211,583.0,2.76
187,105,340.0,3.24
188,190,612.0,3.22
189,15,51.0,3.40
190,100,375.0,3.75
191,75,185.0,2.47
192,2,6.0,3.00
193,217,445.0,2.05
194,213,800.0,3.76
195,164,466.0,2.84
196,550,1553.0,2.82
197,17,52.0,3.06
198,605,1994.0,3.30
199,117,446.0,3.81
200,12,29.0,2.42
201,33,87.0,2.64
202,30,75.0,2.50
203,203,620.0,3.05
204,203,593.0,2.92
205,85,307.0,3.61
206,82,301.0,3.67
207,219,686.0,3.13
208,651,1713.0,2.63
209,52,128.0,2.46
210,41,129.0,3.15
211,34,121.0,3.56
212,14,27.0,1.93
213,123,499.0,4.06
214,28,119.0,4.25
215,160,609.0,3.81
216,355,1130.0,3.18
217,64,168.0,2.63
218,195,610.0,3.13
219,22,70.0,3.18
220,28,51.0,1.82
222,329,1167.0,3.55
223,1412,5573.0,3.95
224,386,1309.0,3.39
225,254,806.0,3.17
226,1,2.0,2.00
227,129,345.0,2.67
228,13,28.0,2.15
229,108,378.0,3.50
230,349,1205.0,3.45
231,660,2107.0,3.19
232,346,1410.0,4.08
233,235,849.0,3.61
234,147,327.0,2.22
235,927,3427.0,3.70
236,326,1077.0,3.30
237,257,764.0,2.97
238,32,90.0,2.81
239,168,483.0,2.88
240,45,122.0,2.71
241,29,96.0,3.31
242,80,280.0,3.50
243,10,21.0,2.10
244,10,19.0,1.90
245,11,33.0,3.00
246,716,2999.0,4.19
247,477,1844.0,3.87
248,138,402.0,2.91
249,261,981.0,3.76
250,30,78.0,2.60
251,18,59.0,3.28
252,367,1200.0,3.27
253,738,2601.0,3.52
254,38,117.0,3.08
255,66,136.0,2.06
256,218,578.0,2.65
257,114,368.0,3.23
258,144,349.0,2.42
259,102,290.0,2.84
260,2991,13321.0,4.45
261,285,1040.0,3.65
262,172,666.0,3.87
263,28,108.0,3.86
264,5,16.0,3.20
265,772,3036.0,3.93
266,705,2415.0,3.43
267,140,382.0,2.73
268,54,182.0,3.37
269,55,194.0,3.53
270,79,240.0,3.04
271,63,198.0,3.14
272,383,1427.0,3.73
273,244,707.0,2.90
274,24,57.0,2.38
275,80,203.0,2.54
276,228,614.0,2.69
277,170,541.0,3.18
278,40,110.0,2.75
279,46,171.0,3.72
280,212,757.0,3.57
281,233,850.0,3.65
282,215,693.0,3.22
283,18,54.0,3.00
286,1,3.0,3.00
287,21,61.0,2.90
288,700,2201.0,3.14
289,158,528.0,3.34
290,168,658.0,3.92
291,48,106.0,2.21
292,733,2396.0,3.27
293,923,3790.0,4.11
294,42,130.0,3.10
295,29,80.0,2.76
296,2171,9288.0,4.28
297,28,87.0,3.11
298,23,90.0,3.91
299,143,524.0,3.66
300,705,2650.0,3.76
301,43,142.0,3.30
302,86,328.0,3.81
303,418,1244.0,2.98
304,35,110.0,3.14
305,127,318.0,2.50
306,334,1412.0,4.23
307,243,996.0,4.10
308,202,801.0,3.97
309,48,177.0,3.69
310,6,16.0,2.67
311,1,3.0,3.00
312,112,273.0,2.44
313,54,156.0,2.89
314,300,1155.0,3.85
315,153,406.0,2.65
316,1116,3895.0,3.49
317,641,2046.0,3.19
318,2227,10143.0,4.55
319,273,1063.0,3.89
320,32,109.0,3.41
321,61,229.0,3.75
322,209,776.0,3.71
324,33,131.0,3.97
325,49,120.0,2.45
326,61,265.0,4.34
327,358,936.0,2.61
328,144,448.0,3.11
329,990,3343.0,3.38
330,149,407.0,2.73
331,21,65.0,3.10
332,161,410.0,2.55
333,410,1436.0,3.50
334,114,440.0,3.86
335,41,143.0,3.49
336,19,51.0,2.68
337,693,2662.0,3.84
338,221,637.0,2.88
339,673,2355.0,3.50
340,84,275.0,3.27
341,31,119.0,3.84
342,518,1905.0,3.68
343,42,102.0,2.43
344,766,2412.0,3.15
345,469,1785.0,3.81
346,120,423.0,3.53
347,46,146.0,3.17
348,455,1683.0,3.70
349,1059,3946.0,3.73
350,515,1747.0,3.39
351,257,859.0,3.34
352,119,373.0,3.13
353,734,2529.0,3.45
354,67,213.0,3.18
355,267,628.0,2.35
356,2194,8969.0,4.09
357,1233,4616.0,3.74
358,141,447.0,3.17
359,19,61.0,3.21
360,127,317.0,2.50
361,268,917.0,3.42
362,239,804.0,3.36
363,62,264.0,4.26
364,1121,4328.0,3.86
365,71,225.0,3.17
366,251,708.0,2.82
367,1179,3866.0,3.28
368,802,2826.0,3.52
369,58,192.0,3.31
370,412,1194.0,2.90
371,212,674.0,3.18
372,428,1350.0,3.15
373,258,995.0,3.86
374,183,387.0,2.11
375,17,56.0,3.29
376,350,1136.0,3.25
377,1650,5883.0,3.57
378,140,405.0,2.89
379,436,1260.0,2.89
380,1400,5088.0,3.63
381,211,688.0,3.26
382,272,798.0,2.93
383,270,882.0,3.27
384,40,116.0,2.90
385,10,34.0,3.40
386,30,78.0,2.60
387,102,280.0,2.75
388,97,353.0,3.64
389,20,74.0,3.70
390,59,209.0,3.54
391,40,131.0,3.28
392,25,70.0,2.80
393,105,195.0,1.86
394,18,66.0,3.67
396,1,4.0,4.00
397,12,29.0,2.42
398,1,4.0,4.00
401,2,6.0,3.00
402,1,3.0,3.00
404,4,15.0,3.75
405,203,431.0,2.12
406,8,29.0,3.63
407,193,562.0,2.91
408,72,239.0,3.32
409,49,148.0,3.02
410,463,1346.0,2.91
411,13,34.0,2.62
412,295,1050.0,3.56
413,245,620.0,2.53
414,90,239.0,2.66
415,179,444.0,2.48
416,89,216.0,2.43
417,208,725.0,3.49
418,29,73.0,2.52
419,156,342.0,2.19
420,352,882.0,2.51
421,94,316.0,3.36
422,57,178.0,3.12
423,221,687.0,3.11
424,75,195.0,2.60
425,105,379.0,3.61
426,269,829.0,3.08
427,166,393.0,2.37
428,263,1034.0,3.93
429,187,445.0,2.38
430,24,58.0,2.42
431,369,1362.0,3.69
432,392,1011.0,2.58
433,48,134.0,2.79
434,686,2116.0,3.08
435,533,1389.0,2.61
436,141,374.0,2.65
437,64,131.0,2.05
438,152,399.0,2.63
439,2,9.0,4.50
440,948,3613.0,3.81
441,643,2375.0,3.69
442,640,1915.0,2.99
443,31,105.0,3.39
444,81,186.0,2.30
445,100,261.0,2.61
446,254,1037.0,4.08
447,31,77.0,2.48
