movieid,Average_ratings
1,4.15
2,3.2
3,3.02
4,2.73
5,3.01
6,3.88
7,3.41
8,3.01
9,2.66
10,3.54
11,3.79
12,2.36
13,3.26
14,3.54
15,2.46
16,3.79
17,4.03
18,3.34
19,2.48
20,2.54
21,3.62
22,3.35
23,2.86
24,3.18
25,3.65
26,3.53
27,2.93
28,4.06
29,4.06
30,3.65
31,3.11
32,3.95
33,3
34,3.89
35,3.31
36,3.96
37,3.5
38,2.82
39,3.62
40,3.93
41,3.96
42,2.87
43,3.45
44,2.79
45,3.42
46,3.11
47,4.11
48,2.98
49,3.74
50,4.52
52,3.64
53,4.75
54,2.56
55,3.07
56,2
57,3.4
58,4.09
59,2.75
60,3.21
61,3
62,3.7
63,2.86
64,2.27
65,2.06
66,1.67
67,3.25
68,3.45
69,3.66
70,3.16
71,2.1
72,3.63
73,3.82
74,2.98
75,1.92
76,2.85
77,3.76
78,3.26
79,2.61
80,3.83
81,3.16
82,3.88
83,3.7
84,3.1
85,3.4
86,3.39
87,2.21
88,2.94
89,3.07
90,3.67
92,2.34
93,2.24
94,3.73
95,2.88
96,3.92
97,3.75
98,2
99,3.46
100,3.06
101,3.87
102,1.82
103,3.21
104,3.53
105,3.23
106,3.58
107,3.15
108,2.86
110,4.23
111,4.18
112,3.44
113,2.98
114,3.09
116,4.1
117,3.63
118,3.07
119,2.46
120,2.67
121,4.05
122,2.77
123,3.87
124,3.21
125,3.83
126,1.99
127,1
128,4.33
129,3.31
130,4
131,3.06
132,2.49
133,1
134,4
135,2.81
136,3.25
137,3
138,2.5
139,4
140,3.17
141,3.55
142,1
144,3.39
145,3.3
146,2.89
147,3.54
148,2.78
149,3.79
150,4.07
151,3.59
152,3
153,2.64
154,3.73
155,3.41
156,3.56
157,2.73
158,2.98
159,3.28
160,2.24
161,3.72
162,4.06
163,3.46
164,3.57
165,3.56
166,2.46
167,3.6
168,2.95
169,2.02
170,3.15
171,3.57
172,2.58
173,2.31
174,2.31
175,3.48
176,3.92
177,2.73
178,3.47
179,2.21
180,3.55
181,1.61
182,3.14
183,3.48
184,3.35
185,2.87
186,2.76
187,3.24
188,3.22
189,3.4
190,3.75
191,2.47
192,3
193,2.05
194,3.76
195,2.84
196,2.82
197,3.06
198,3.3
199,3.81
200,2.42
201,2.64
202,2.5
203,3.05
204,2.92
205,3.61
206,3.67
207,3.13
208,2.63
209,2.46
210,3.15
211,3.56
212,1.93
213,4.06
214,4.25
215,3.81
216,3.18
217,2.63
218,3.13
219,3.18
220,1.82
222,3.55
223,3.95
224,3.39
225,3.17
226,2
227,2.67
228,2.15
229,3.5
230,3.45
231,3.19
232,4.08
233,3.61
234,2.22
235,3.7
236,3.3
237,2.97
238,2.81
239,2.88
240,2.71
241,3.31
242,3.5
243,2.1
244,1.9
245,3
246,4.19
247,3.87
248,2.91
249,3.76
250,2.6
251,3.28
252,3.27
253,3.52
254,3.08
255,2.06
256,2.65
257,3.23
258,2.42
259,2.84
260,4.45
261,3.65
262,3.87
263,3.86
264,3.2
265,3.93
266,3.43
267,2.73
268,3.37
269,3.53
270,3.04
271,3.14
272,3.73
273,2.9
274,2.38
275,2.54
276,2.69
277,3.18
278,2.75
279,3.72
280,3.57
281,3.65
282,3.22
283,3
286,3
287,2.9
288,3.14
289,3.34
290,3.92
291,2.21
292,3.27
293,4.11
294,3.1
295,2.76
296,4.28
297,3.11
298,3.91
299,3.66
300,3.76
301,3.3
302,3.81
303,2.98
304,3.14
305,2.5
306,4.23
307,4.1
308,3.97
309,3.69
310,2.67
311,3
312,2.44
313,2.89
314,3.85
315,2.65
316,3.49
317,3.19
318,4.55
319,3.89
320,3.41
321,3.75
322,3.71
324,3.97
325,2.45
326,4.34
327,2.61
328,3.11
329,3.38
330,2.73
331,3.1
332,2.55
333,3.5
334,3.86
335,3.49
336,2.68
337,3.84
338,2.88
339,3.5
340,3.27
341,3.84
342,3.68
343,2.43
344,3.15
345,3.81
346,3.53
347,3.17
348,3.7
349,3.73
350,3.39
351,3.34
352,3.13
353,3.45
354,3.18
355,2.35
356,4.09
357,3.74
358,3.17
359,3.21
360,2.5
361,3.42
362,3.36
363,4.26
364,3.86
365,3.17
366,2.82
367,3.28
368,3.52
369,3.31
370,2.9
371,3.18
372,3.15
373,3.86
374,2.11
375,3.29
376,3.25
377,3.57
378,2.89
379,2.89
380,3.63
381,3.26
382,2.93
383,3.27
384,2.9
385,3.4
386,2.6
387,2.75
388,3.64
389,3.7
390,3.54
391,3.28
392,2.8
393,1.86
394,3.67
396,4
397,2.42
398,4
401,3
402,3
404,3.75
405,2.12
406,3.63
407,2.91
408,3.32
409,3.02
410,2.91
411,2.62
412,3.56
413,2.53
414,2.66
415,2.48
416,2.43
417,3.49
418,2.52
419,2.19
420,2.51
421,3.36
422,3.12
423,3.11
424,2.6
425,3.61
426,3.08
427,2.37
428,3.93
429,2.38
430,2.42
431,3.69
432,2.58
433,2.79
434,3.08
435,2.61
436,2.65
437,2.05
438,2.63
439,4.5
440,3.81
441,3.69
442,2.99
443,3.39
444,2.3
445,2.61
446,4.08
447,2.48
448,3.6
449,3.66
450,3.28
451,3.15
452,3.29
453,3.22
454,3.55
455,2.59
456,4
457,4.1
458,3.28
459,2.83
460,2.26
461,3.28
462,2.64
463,2.74
464,2.78
465,3.31
466,2.8
467,3.2
468,3.27
469,2.96
470,1.74
471,3.63
472,2.7
473,2.23
474,3.83
475,3.9
476,2.69
477,3.47
478,2.46
479,2.8
480,3.76
481,3.38
482,3.53
483,3.74
484,2.66
485,2.51
486,2.81
487,2.61
488,3.38
489,2.47
490,3.32
491,3.32
492,3.72
493,3.61
494,3.35
495,3.38
496,3.22
497,4
498,2.74
499,2.76
500,3.42
501,3.61
502,1.94
503,3.69
504,2.96
505,2.49
506,3.49
507,3.52
508,3.89
509,3.67
510,2.4
511,3.11
512,2.87
513,3.12
514,3.53
515,3.92
516,2.87
517,3.18
518,2.46
519,1.94
520,2.93
521,3.37
522,3.57
523,3.66
524,3.62
525,3.19
526,2.5
527,4.51
528,2.51
529,3.98
530,3.5
531,3.77
532,3.05
533,2.73
534,3.84
535,3.82
536,3.16
537,3.08
538,3.82
539,3.76
540,2.22
541,4.27
542,2.67
543,3.38
544,2.64
545,2
546,1.87
547,2.88
548,2.55
549,3.82
550,3.02
551,3.72
552,3.24
553,3.87
554,2.62
555,3.93
556,4.23
557,4.5
558,2.7
559,3
560,3.63
561,3.62
562,3.8
563,3.24
564,2.27
565,3.13
566,2.92
567,3.57
568,3.86
569,2.93
570,3.22
571,3.59
572,3
573,3.52
574,3.45
575,2.82
576,3
577,2.96
578,4.5
579,2
580,3.24
581,4.05
582,3
583,3.68
584,4
585,2.91
586,3.13
587,3.5
588,3.79
589,4.06
590,3.92
591,2
592,3.6
593,4.35
594,3.85
595,3.89
596,3.75
597,3.64
598,4.25
599,4.09
600,3
601,3
602,4.12
603,3
605,3.31
606,2.23
607,2
608,4.25
609,2.78
610,3.55
611,2.47
612,2.41
613,3.63
614,2.67
615,4.04
616,3.35
617,3.65
618,2.11
619,2.59
621,3.71
623,3
624,4
626,2.26
627,3.6
628,3.9
630,2.86
631,2.08
632,4
633,3.6
634,1.67
635,3.62
637,2.54
638,3.21
639,2.62
640,2.68
641,1
642,2
643,2
644,2
