movieid,Total_number_of_Users
1,2077
2,701
3,478
4,170
5,296
6,940
7,458
8,68
9,102
10,888
11,1033
12,160
13,99
14,153
15,146
16,682
17,835
18,157
19,389
20,160
21,1356
22,378
23,126
24,624
25,980
26,100
27,61
28,179
29,403
30,74
31,141
32,1511
33,4
34,1751
35,70
36,928
37,8
38,28
39,1362
40,30
41,242
42,221
43,166
44,311
45,544
46,166
47,1137
48,382
49,27
50,1783
52,431
53,8
54,41
55,45
56,9
57,99
58,501
59,8
60,357
61,67
62,541
63,111
64,79
65,143
66,97
67,4
68,60
69,319
70,914
71,96
72,93
73,224
74,120
75,12
76,178
77,34
78,50
79,114
80,52
81,166
82,89
83,33
84,21
85,194
86,236
87,76
88,192
89,229
90,6
92,88
93,89
94,182
95,638
96,13
97,44
98,6
99,50
100,128
101,253
102,60
103,33
104,682
105,387
106,12
107,256
108,7
110,2443
111,1240
112,570
113,53
114,11
116,41
117,79
118,68
119,13
120,3
121,37
122,194
123,115
124,14
125,318
126,99
127,1
128,12
129,13
130,2
131,16
132,91
133,1
134,2
135,133
136,8
137,13
138,2
139,1
140,139
141,682
142,1
144,433
145,362
146,18
147,181
148,23
149,47
150,1251
151,554
152,69
153,777
154,168
155,87
156,66
157,187
158,259
159,116
160,565
161,760
162,491
163,540
164,379
165,825
166,61
167,5
168,362
169,113
170,321
171,93
172,458
173,564
174,81
175,220
176,205
177,139
178,19
179,48
180,451
181,93
182,49
183,29
184,26
185,569
186,211
187,105
188,190
189,15
190,100
191,75
192,2
193,217
194,213
195,164
196,550
197,17
198,605
199,117
200,12
201,33
202,30
203,203
204,203
205,85
206,82
207,219
208,651
209,52
210,41
211,34
212,14
213,123
214,28
215,160
216,355
217,64
218,195
219,22
220,28
222,329
223,1412
224,386
225,254
226,1
227,129
228,13
229,108
230,349
231,660
232,346
233,235
234,147
235,927
236,326
237,257
238,32
239,168
240,45
241,29
242,80
243,10
244,10
245,11
246,716
247,477
248,138
249,261
250,30
251,18
252,367
253,738
254,38
255,66
256,218
257,114
258,144
259,102
260,2991
261,285
262,172
263,28
264,5
