movieid,Total_ratings
1,8613
2,2244
3,1442
4,464
5,890
6,3646
7,1562
8,205
9,271
10,3144
11,3919
12,378
13,323
14,542
15,359
16,2587
17,3363
18,524
19,965
20,406
21,4914
22,1266
23,360
24,1984
25,3578
26,353
27,179
28,726
29,1637
30,270
31,439
32,5962
33,12
34,6814
35,232
36,3673
37,28
38,79
39,4935
40,118
41,958
42,634
43,572
44,867
45,1863
46,516
47,4669
48,1137
49,101
50,8054
52,1569
53,38
54,105
55,138
56,18
57,337
58,2051
59,22
60,1147
61,201
62,2000
63,317
64,179
65,295
66,162
67,13
68,207
69,1166
70,2885
71,202
72,338
73,855
74,357
75,23
76,508
77,128
78,163
79,297
80,199
81,525
82,345
83,122
84,65
85,660
86,801
87,168
88,565
89,704
90,22
92,206
93,199
94,678
95,1835
96,51
97,165
98,12
99,173
100,392
101,979
102,109
103,106
104,2405
105,1251
106,43
107,806
108,20
110,10346
111,5188
112,1963
113,158
114,34
116,168
117,287
118,209
119,32
120,8
121,150
122,537
123,445
124,45
125,1219
126,197
127,1
128,52
129,43
130,8
131,49
132,227
133,1
134,8
135,374
136,26
137,39
138,5
139,4
140,440
141,2421
142,1
144,1469
145,1193
146,52
147,641
148,64
149,178
150,5096
151,1988
152,207
153,2053
154,626
155,297
156,235
157,511
158,772
159,381
160,1265
161,2830
162,1995
163,1867
164,1352
165,2938
166,150
167,18
168,1068
169,228
170,1010
171,332
172,1180
173,1302
174,187
175,765
176,803
177,380
178,66
179,106
180,1600
181,150
182,154
183,101
184,87
185,1633
186,583
187,340
188,612
189,51
190,375
191,185
192,6
193,445
194,800
195,466
196,1553
197,52
198,1994
199,446
200,29
201,87
202,75
203,620
204,593
205,307
206,301
207,686
208,1713
209,128
210,129
211,121
212,27
213,499
214,119
215,609
216,1130
217,168
218,610
219,70
220,51
222,1167
223,5573
224,1309
225,806
226,2
227,345
228,28
229,378
230,1205
231,2107
232,1410
233,849
234,327
235,3427
236,1077
237,764
238,90
239,483
240,122
241,96
242,280
243,21
244,19
245,33
246,2999
247,1844
248,402
249,981
250,78
251,59
252,1200
253,2601
254,117
255,136
256,578
257,368
258,349
259,290
260,13321
261,1040
262,666
263,108
264,16
265,3036
266,2415
267,382
268,182
269,194
270,240
271,198
272,1427
273,707
274,57
275,203
276,614
277,541
278,110
279,171
280,757
281,850
282,693
283,54
